Title,Tag,Summary,Url,Rating,Make_Again_Pct,Ingredients,Direction,Tags
Green Beans and Cucumbers with Miso Dressing,recipe,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing,3.5,88%,"['3 Persian cucumbers or 1/2 English hothouse cucumber', 'Kosher salt', '1 pound green beans, trimmed', '1 (1 1/2)-inch piece ginger, peeled, finely grated', '1 serrano or Fresno chile, finely grated', '1 garlic clove, finely grated', '1/3 cup unseasoned rice vinegar', '1/4 cup white miso', '1/4 cup olive oil', '1/2 teaspoon toasted sesame oil', 'Toasted sesame seeds and sliced scallions (for serving)']","['Lightly smash cucumbers with a rolling pin, then tear into bite-size pieces. Toss with a pinch of salt in a medium bowl. Let sit to allow salt to penetrate.', 'Meanwhile, place green beans in a large resealable plastic bag, seal, and smash with rolling pin until most of the beans are split open and bruised. Whisk ginger, chile, garlic, vinegar, miso, olive oil, and sesame oil in a medium bowl until smooth. Add dressing to beans and toss around in bag to coat; season with salt.', 'Drain cucumbers and add to bag with beans. Shake gently to combine. Transfer salad to a platter and top with sesame seeds and scallions.']","['Bon Appétit', 'Summer', 'Salad', 'Salad Dressing', 'Cucumber', 'Sesame', 'Sesame Oil', 'Green Bean', 'Wheat/Gluten-Free', 'Side', 'Asian', 'Ginger']"
Weekly Meal Plan: January 28–February 1,article,"Savory beef-cheddar pies, mustard chicken, and a baked potato bar.",/recipes-menus/weekly-meal-plan-savory-beef-cheddar-pies-mustard-chicken-and-a-baked-potato-bar-article,,,,,
"Watch Out Zester, We're Reaching for a New Microplane Tool ",article,Meet the ginger grater.,/expert-advice/microplane-ginger-grater-article,,,,,
Weekly Meal Plan: August 27–31,article,"Grill-ahead dinners, hummus bowls, and an old-fashioned Tex-Mex taco night.",/recipes-menus/weekly-meal-plan-grill-ahead-dinners-and-easy-hummus-bowls-article,,,,,
Weekly Meal Plan: April 15–19,article,It's so good you'll forget it's Tax Week.,/recipes-menus/weekly-meal-plan-lamb-meatballs-sheet-pan-salmon-and-mind-blowing-tofu-article,,,,,
Weekly Meal Plan: May 13–17,article,"Herby shrimp, gingery chicken soup, and cheesesteak calzones.",/recipes-menus/weekly-meal-plan-herby-shrimp-gingery-chicken-soup-and-cheesesteak-calzones-article,,,,,
Store Cucumbers Like a Pro,article,Soggy spoiled cucumbers are sad: avoid them forever by learning how to store cucumbers the right way.,/ingredients/how-to-store-cucumbers-article,,,,,
Weekly Meal Plan: March 25–29,article,"Big-batch spiced pork, crunchy chicken, and four-ingredient chickpea flatbreads.",/recipes-menus/weekly-meal-plan-big-batch-spiced-pork-crunchy-chicken-and-burst-tomato-sauce-article,,,,,
Oven-Roasted Tofu Is the Vegetarian Main We've Been Waiting For,article,"Instead of sautéeing neat squares of tofu, try tearing it into rough, craggy pieces and roasting until browned and crispy.",/ingredients/oven-roasted-tofu-is-the-vegetarian-main-we-need-article,,,,,
This Soy Sauce is Better Than Anything You've Had from the Grocery Store,article,It's imported from Japan—and available on Amazon.,/expert-advice/this-is-the-best-soy-sauce-article,,,,,
Weekly Meal Plan: January 14–18,article,"Citrus shrimp, slow-cooker pork shoulder, and breakfast for dinner.",/recipes-menus/weekly-meal-plan-citrus-shrimp-slow-cooker-pork-shoulder-and-breakfast-for-dinner-article,,,,,
Our 7 Favorite Ways to Cook Green Beans,article,"With these methods for roasting, blanching, grilling, and more, you'll never have to eat bland, overcooked green beans again.",/ingredients/how-to-prepare-and-cook-green-beans-article,,,,,
The Case for the Cumin Seed,article,"The versatility of the cumin is practically unmatched in the spice world. But if you're buying the pre-ground stuff, you're only getting half the story.",/ingredients/the-case-for-the-cumin-seed-article,,,,,
Weekly Meal Plan: January 7–12,article,You’ll have time to put up your feet every night this week.,/expert-advice/weekly-meal-plan-simply-roasted-salmon-sheet-pan-sausage-and-life-changing-polenta-article,,,,,
7 Last-Minute Gifts for Food Lovers,article,"Dearest procrastinators, we've got your back!",/holidays-events/last-minute-food-gifts-article,,,,,
The Slice-and-Spice Pork Tenderloin You Freeze Before You Prep,article,"For this month's Sunday Stash, we're putting together several meals worth of sliced-and-spiced pork that's ready to be turned into dinner at a moment's notice.",/expert-advice/big-patch-sliced-pork-tenderloin-freeze-before-prep-article,,,,,
9 Japanese Cookware Gifts That Are All About Form and Function,article,"Beautiful cast-iron pans, earthenware pots, and more gifts for classy cooks.",/expert-advice/japanese-cookware-gifts-article,,,,,
Tested and Approved: The Best Juicers,article,We scrubbed the pulp from seven different juicers to find the best one.,/expert-advice/best-juicers-breville-kuvings-article,,,,,
Breakfast Snack Trays Are Your New Brunch Staple,article,It's the quickest way to feed all those hungry relatives staying at your house.,/expert-advice/breakfast-snack-trays-are-your-new-brunch-staple-article,,,,,
Weekly Meal Plan: June 18–22,article,"Roast chicken with white beans, swordfish steaks, avocado soba noodles.",/recipes-menus/weekly-meal-plan-roast-chicken-with-white-beans-swordfish-steaks-avocado-soba-noodles-article,,,,,
Weekly Meal Plan: July 16–20,article,A week of paleo-friendly dinners.,/recipes-menus/weekly-meal-plan-for-july-16-20-a-week-of-paleo-friendly-dinners-article,,,,,
Weekly Meal Plan: October 29–November 2,article,We’ve got plenty of tricks—and treats—in store for you.,/recipes-menus/weekly-meal-plan-a-super-easy-week-with-pork-chops-noodles-and-pizza-article,,,"['4 cups cilantro', '1 1-inch piece ginger, peeled, finely grated', '1/2 cup neutral oil (such as sunflower or canola)', '3 tablespoons fresh lime juice']","['Cook cilantro in a medium pot of boiling salted water until wilted, about 20 seconds. Drain and transfer cilantro to a bowl of ice water. Swish around in water to cool. Drain, then squeeze excess liquid from herbs with your hands.', 'Purée cilantro, ginger, and 2 Tbsp. water in a blender until almost smooth. With motor running, gradually stream in oil and blend until smooth. Strain cilantro oil through a fine-mesh sieve into a small bowl; discard any solids. Mix lime juice into oil and season with salt.']","['Bon Appétit', 'Fish', 'Lime Juice', 'Breadcrumbs', 'Cilantro', 'Ginger', 'Cucumber', 'Fennel', 'Onion', 'Chile Pepper', 'Dinner', 'Fry', 'Mexican']"
Crispy Fish Fillets with Cucumber Ceviche,recipe,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",/recipes/food/views/fish-milanese-with-cucumber-ceviche,4,100%,,,
Teach Your Kids to Make Their Own Lunch: Part Two,article,"From grocery shopping to prep work, here's how you and your kids can nail the details.",/expert-advice/teach-your-kids-to-make-their-own-lunch-part-two-article,,,,,
Weekly Meal Plan: July 9–13,article,Make-ahead meals (and a taco night!) for summer.,/recipes-menus/weekly-meal-plan-make-ahead-meals-taco-night-for-summer-article,,,,,
The Best Way to Clear Out All Those Lingering Condiments in Your Fridge,article,Stop hanging on to that last spoonful of hot chili jam from three years ago—it's time for it to go.,/ingredients/the-best-way-to-use-up-all-those-lingering-condiments-in-your-fridge-article,,,,,
Why You Should Grill Your Vegetables Before Pickling Them,article,You've had pickles with barbecue. But what about a barbecued pickle?,/expert-advice/why-grill-your-vegetables-before-pickling-them-article,,,,,
5 Ways to Make Melon Savory,article,"Watermelons, cantaloupes, and honeydews lean sweet—and that's why they play so well with salt, vinegar, and cheese.",/ingredients/how-to-cook-melon-savory-article,,,,,
The Best Mayonnaise Money Can Buy,article,The best mayo is just one swipe away.,/ingredients/best-mayonnaise-grocery-store-article,,,,,
Thai-Style Pineapple-Coconut Rice,recipe,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",/recipes/food/views/thai-style-pineapple-coconut-rice,3,100%,"['1 1/2 cups uncooked long- grain brown rice, such as brown basmati', '1 cup light coconut milk (about half a 15-ounce can), or more as needed', '1 tablespoon safflower or other high-heat oil or 3 tablespoons vegetable broth or water', '1 large onion, preferably red, chopped', '2 cups small broccoli florets', '1 medium red or green bell pepper, diced', '2 medium carrots, peeled and sliced', '2 medium ripe fresh tomatoes, diced', '2 cups fresh pineapple chunks (about 3/4 inch thick) or one 20-ounce can unsweetened pineapple chunks in juice, drained (reserve liquid for another use)', '1 to 2 teaspoons good-quality curry powder', '2 teaspoons minced fresh or jarred ginger, or more to taste', 'Salt to taste', 'Crushed red pepper flakes to taste', 'Crushed peanuts or cashews for topping (optional)']","['Combine the rice with 2 cups water and the coconut milk in a saucepan. Bring to a rapid simmer, then cover and simmer gently until the water is absorbed, about 30 to 35 minutes.', 'Meanwhile, heat the oil in a stir- fry pan or a wide skillet. Add the onion and saute over medium heat until golden.', 'Add the broccoli, bell pepper, and carrots. Turn the heat up to medium-high and stir-fry for 3 to 4 minutes, or until the vegetables are just tender-crisp.', 'Add the tomatoes and pineapple chunks and continue to stir-fry for a minute or two, just until the tomatoes soften slightly.', 'Stir in the cooked rice, curry powder, and ginger. Stir gently until all the ingredients are completely combined. Since about half the can of coconut milk is remaining, if you’d like the mixture to be a bit more moist, add 1/4 cup or so more, but take care not to make the mixture soupy.', 'Season with salt and red pepper flakes. Serve at once, passing around crushed nuts to top individual servings, if desired.']","['HarperCollins', 'Coconut', 'Pineapple', 'Brown Rice', 'Rice', 'Thai']"
How to Snack on Thanksgiving So You Don't Get Hangry,article,We're here to save you with a snacking strategy.,/holidays-events/this-is-your-official-thanksgiving-snacking-strategy-article,,,,,
Weekly Meal Plan: September 17–21,article,A week of easy meals that take you from summer into fall.,/recipes-menus/weekly-meal-plan-corn-tomatoes-and-lots-of-butternut-squash-article,,,,,
How to Eat Radishes: 10 Radish Recipes to Try Tonight,article,"Crunchy, spicy, and not too shabby to look at, radishes are great on their own. But these 10 recipes help you put the radishes to work in salads, tacos, and more.",/expert-advice/how-to-eat-radishes-article,,,,,
"Family Dinner Wins: 5 Easy, Back-Pocket Meals That Save Us From Takeout",article,"The last-minute recipes born of necessity—and, occasionally, desperation—that end up becoming family favorites.",/expert-advice/family-dinner-wins-easy-back-pocket-meals-article,,,,,
The Adult Lunch Boxes That Will Finally Motivate You to Pack a Lunch,article,And stop spending 20 bucks a day on a mediocre salad.,/expert-advice/the-best-adult-lunch-boxes-bowls-and-bento-sets-article,,,,,
"The Best Mixing Bowls for Giant Salads, Movie Night Popcorn, and Cookie Dough",article,"We tested top-rated sets of mixing bowls—including glass, stainless steel, and plastic varieties—to find the best one for everyday kitchen tasks.",/expert-advice/the-best-mixing-bowls-product-review-article,,,,,
The Easiest Way to Make Lunch at Your Desk,article,Don't have time to meal prep? You can make a salad right at your desk with these handy tricks.,/expert-advice/how-to-assemble-a-desk-side-salad-article,,,,,
Weekly Meal Plan: June 4–8,article,"Chicken shawarma, herby tuna pasta, and mapo tofu.",/recipes-menus/weekly-meal-plan-shawarma-chicken-herby-tuna-pasta-and-mapo-tofu-article,,,,,
30 Best Burger Recipes (and Tips on How to Cook Them to Perfection),article,"Secrets from grilling experts on how to make the best burger, ever.",/recipes-menus/best-burger-recipes-article,,,,,
The Best Subscription Boxes That Make Great Food Gifts,article,"It doesn't get much better than monthly deliveries of cheese, coffee, and pasta.",/expert-advice/food-subscription-box-gift-ideas-article,,,,,
"Nachos Are a Magical, Kid-Friendly Way to Repurpose Leftovers",article,"Last night's dinner is tonight's topping for crispy, cheesy nachos.",/expert-advice/nachos-are-a-magical-kid-friendly-way-to-repurpose-leftovers-article,,,,,
The Best Pickles Are Homemade Pickles,article,Gather your Kirby cukes and get started.,/expert-advice/how-to-can-pickles-weekend-warrior-article,,,,,
Weekly Meal Plan: March 19–23,article,"Lemony soup, fast tacos, and a salad that's secretly a pizza.",/recipes-menus/weekly-meal-plan-starring-lemony-soup-fast-tacos-and-a-salad-thats-secretly-a-pizza-article,,,,,
6 Ways to Use the Dull Side of Your Chef's Knife,article,The dull side of the knife is actually pretty interesting.,/expert-advice/how-to-use-back-of-chefs-knife-article,,,,,
Weekly Meal Plan: June 11–15,article,"Chipotle-lime steak, salmon burgers, and peanutty rice noodles.",/expert-advice/weekly-meal-plan-chipotle-lime-steak-salmon-burgers-and-peanut-rice-noodles-article,,,,,
The Bowl That Makes Every Salad Better,article,Toss your salad like a pro.,/expert-advice/youre-gonna-need-a-bigger-bowl-salad-article,,,,,
Big-Batch Roasted Kale Is a Dinnertime Savior,article,Even though my kids won't eat it.,/recipes-menus/big-batch-roasted-kale-is-a-dinnertime-savior-sunday-stash-article,,,,,
Everything You Need for At-Home Canning,article,We talked to an expert so you can be someone who cans at home.,/expert-advice/everything-you-need-for-canning-at-home-article,,,,,
Peanut Noodles with Chicken and Snap Peas,recipe,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas,3.5,100%,"['3 tablespoons olive oil', '1/2 teaspoon ground cumin', '1 1/2 teaspoons kosher salt, divided', '3/4 teaspoon freshly ground black pepper, divided', '1 1/4 pounds boneless, skinless chicken thighs, trimmed', '2 limes, divided', '1 batch Kid-Friendly Peanut Sauce', '8 ounces dried thin rice noodles', '1/2 cup cilantro, coarsely chopped, divided', '1/2 cup toasted peanuts, coarsely chopped, divided', '2 Persian cucumbers, thinly sliced on the bias', '2 medium carrots (about 4 ounces each), grated', '1/2 pound sugar snap peas, trimmed']","['Preheat oven to 425°F. Stir oil, cumin, 1 tsp. salt, and 1/2 tsp. pepper in a large bowl. Add chicken and toss to coat. Spread on a rimmed baking sheet and roast until an instant-read thermometer inserted into thickest part of thigh registers 165°F, 15–17 minutes. Transfer chicken to a cutting board and thinly slice.', 'Meanwhile, juice 1 lime to yield 3 Tbsp. juice. Cut remaining lime into wedges. Whisk peanut sauce, lime juice, and remaining 1/2 tsp. salt and 1/4 tsp. pepper in a large bowl.', 'Cook noodles according to package directions. Drain. Transfer noodles to another large bowl. Add 1 1/2 cups peanut sauce mixture, 1/3 cup cilantro, and 1/3 cup peanuts and toss to combine. Divide noodle mixture among bowls.', 'Transfer sliced chicken to same large bowl and toss with 2 Tbsp. peanut sauce mixture; arrange in a section over noodles. Toss cucumbers and 2 Tbsp. peanut sauce mixture in same large bowl; arrange in another section over noodles. Toss carrot and 1/4 cup peanut sauce mixture in same large bowl; arrange in another section over noodles. Toss snap peas and 2 Tbsp. peanut sauce mixture in same bowl; arrange in another section over noodles. Serve remaining sauce mixture alongside or reserve for another use. Top bowls with remaining cilantro and peanuts and serve with lime wedges alongside.', '']","['Back to School', 'Dinner', 'Noodle', 'Chicken', 'Sugar Snap Pea', 'Cucumber', 'Peanut', 'Kid-Friendly', 'Lime Juice', 'Cilantro', 'Small Plates']"
Weekly Meal Plan: May 28–June 1,article,"Barbecue pork, hot-honey chicken, and a chef's salad upgrade.",/holidays-events/weekly-meal-plan-bbq-pork-hot-honey-chicken-and-a-chefs-salad-upgrade-article,,,,,
Thai Beef Salad,recipe,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",/recipes/food/views/thai-beef-salad,4,100%,"['1 pound (455 g) strip steak (about 1 inch/2.5 cm thick; see Tip), trimmed and at room temperature', 'Vegetable oil', 'Salt and pepper', '1 large head of butter lettuce, also known as Boston or Bibb, leaves torn into bite-size pieces', '1/2 English cucumber, halved lengthwise and sliced', '1/2 pint (120 g) cherry tomatoes, halved', '1/2 small red onion, halved lengthwise and thinly sliced', 'Handful of fresh mint leaves, roughly chopped', 'Large handful of fresh cilantro leaves, roughly chopped', 'Chile-Lime Sauce', 'Handful of roasted peanuts, whole or roughly chopped (optional)']","['Preheat the broiler, with a rack positioned so that the meat will be 3 to 4 inches (7.5 to 10 cm) from the heat. Line the bottom of a broiler pan with foil for easier clean-up, if you like, then top with the broiler rack. Put the meat on the broiler rack, lightly coat with the oil, and season with salt and pepper. Broil the meat for 5 to 7 minutes per side for medium-rare (err on the side of caution with the time; you can always cook it more). Transfer to a cutting board, sprinkle with salt, and let rest for 5 to 10 minutes.', 'Meanwhile, in a large bowl, combine the lettuce, cucumbers, tomatoes, onions, mint, and cilantro.*', 'Cut the meat against the grain into very thin slices and add to the bowl. (If the meat is still hot, wait a few minutes until it is warm or it will wilt the lettuce and herbs.) Drizzle the salad with just enough Chile-Lime Sauce to lightly coat and gently toss together. Top with the peanuts, if you like.']","['Salad', 'Thai', 'Southeast Asian', 'Beef', 'Cucumber', 'Chile Pepper', 'Dinner', 'Small Plates', 'Kid-Friendly']"
Smashed Cucumbers and Radishes in Yogurt Sauce,recipe,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce,0,0%,"['1 small garlic clove, finely grated', '2 teaspoons fresh lemon juice', '1/2 cup plain whole-milk Greek yogurt', '2 tablespoons olive oil', 'Pinch of sugar', 'Kosher salt, freshly ground pepper', '4 ounces Persian cucumbers', '4 ounces red radishes, trimmed']","['Combine garlic and lemon juice in a small bowl and let sit 5 minutes.', 'Whisk yogurt, oil, and sugar in a large bowl; season with salt and pepper. Whisk in garlic mixture.', 'Using a rolling pin, meat mallet, or the flat side of a chef’s knife, lightly whack cucumbers and radishes so they begin to split apart (but not so forcefully that you smash them to smithereens). Tear cucumbers and radishes into bite-size pieces with your hands and fold into yogurt mixture. Season salad with more salt and lots and lots of pepper.', 'Transfer salad to an airtight container; cover and chill at least 2 hours. Shake to combine before serving.']","['Bon Appétit', 'Side', 'Salad', 'Radish', 'Cucumber', 'Yogurt', 'Lemon Juice']"
Weekly Meal Plan: March 5–9,article,"Filipino pork, crispy fish, and a ton of easy-does-it tips.",/recipes-menus/weekly-meal-plan-filipino-pork-and-a-ton-of-easy-does-it-tips-article,,,,,
How to Make a Cheese Plate for Yourself—and Why That's a Powerful Idea,article,"It's the easiest, most elegant solo dinner there is.",/expert-advice/how-to-make-a-cheese-plate-for-one-article,,,,,
Green Chicken Meatballs,video,"This big batch of meatballs is inspired by kofta, the flavor-packed ground meat patties popular throughout the Middle East and North Africa. Stash them in your freezer so you always have the building blocks of a great meal. Try them simmered in tomato sauce, served over grains or greens, or packed into pita sandwiches with cucumbers, red onion, mint, and a tangy yogurt sauce. Get the recipe: http://www.epicurious.com/recipes/food/views/herby-chicken-kofta-meatballs",http://video.epicurious.com/watch/green-chicken-meatballs,,,,,
"The Best Vegetarian Cookbooks, According to the Epicurious Staff",article,"Recipe collections that'll get you excited about vegetables, from seed to stem.",/expert-advice/best-vegetarian-cookbooks-article,,,,,
What to Pack for Lunch When Your Kid Won't Eat Sandwiches,article,A nutritionist tells us what she puts in her kids' lunchboxes.,/expert-advice/what-to-pack-for-lunch-when-your-kid-wont-eat-sandwiches-article,,,,,
A Breastfeeding Mama’s Snacking Survival Guide,article,"At home or on the road, a smartly stocked grab bag can make all the difference.",/expert-advice/a-breastfeeding-mamas-snacking-survival-guide-article,,,,,
My Kid Is a Vegetarian—Now What?,article,Compromising at the dinner table might not be as difficult as you think.,/expert-advice/my-kid-is-a-vegetarian-article,,,,,
"41 Crisp, Crunchy, and Cooling Cucumber Recipes",gallery,Nothing's cooler than a cucumber.,/recipes-menus/12-refreshing-ways-to-eat-cucumbers-gallery,,,,,
Weekly Meal Plan: Easy Post-Thanksgiving Family Dinners ,article,"Last week was full of cooking—this week, slow it down with some easy favorites.",/expert-advice/weekly-meal-plan-easy-post-thanksgiving-family-dinners-article,,,,,
"Weekly Meal Plan: 5 Fast, Family-Friendly Dinners",article,"From a veggie-packed noodle bowl to grilled cheese tacos, these kid-approved recipes can be made in 30 minutes or less.",/recipes-menus/weekly-meal-plan-family-friendly-kids-dinners-article,,,,,
Chicken Kofta Meatballs,recipe,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,/recipes/food/views/herby-chicken-kofta-meatballs,3.5,88%,"['2 medium yellow onions, coarsely chopped (about 3 cups)', '4 garlic cloves, coarsely chopped', '1/4 cup plus 2 tablespoons olive oil', '2 teaspoons kosher salt, divided', '2 teaspoons ground cumin', '1 1/2 teaspoons ground coriander', '1/2 teaspoon red pepper flakes', '2 cups parsley leaves with tender stems', '1 cup mint leaves', '2 pounds ground chicken, preferably a mix of white and dark meat, not ""low-fat""']","['Preheat oven to 425°F. Pulse yellow onions and garlic in a food processor until very finely chopped.', 'Heat oil in a large skillet over medium-high. Add chopped onion and garlic, season with 1/2 tsp. salt, and cook, stirring, until softened and lightly browned, 10–15 minutes. Add cumin, coriander, and red pepper and cook, stirring, until fragrant, 30–60 seconds. Scrape into a large bowl and let cool slightly.', 'Wipe out food processor and add parsley and mint. Pulse until finely chopped, then transfer to bowl with onion mixture. Add chicken and remaining 1 1/2 tsp. salt to bowl with onion mixture. Mix with your hands to combine, but do not overwork. Divide into 16 equal portions (about 1/3 cup per kofta). Shape into 3 1/2x2"" ""footballs"" with tapered ends.', 'Arrange patties on a rimmed baking sheet and roast, flipping halfway through, until chicken is cooked through and an instant-read thermometer inserted into the center registers 165°F, about 8 minutes per side.']","['#cook90', 'Chicken', 'Meatball', 'Dinner', 'Middle Eastern', 'Cumin', 'Coriander', 'Parsley', 'Mint', 'Garlic', 'Poultry']"
Teriyaki Steak Skewers with Asian-Style Greens,recipe,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens,1,0%,"['14 oz (400g) lean diced steak, with fat trimmed', '1 large bok choy, shredded', '1 large handful of kale, shredded', '1 spring onion, sliced', '1/2 cucumber, deseeded and diced', '1 tbsp sherry vinegar', '1 tsp olive oil', '1 tsp soy sauce', '1 red chile, deseeded and thinly sliced (optional)']","['Create your marinade by mixing the soy, mirin and honey with half of the ginger and pour it over the steak, leaving to marinate for about an hour.', 'Mix the bok choy, kale, spring onion and cucumber and toss with the sherry vinegar, the olive oil, the remaining ginger and the soy sauce and assemble in a serving bowl.', 'Using small skewers, thread about four steak pieces on to each skewer and then sear in a hot frying pan for about 2 minutes on each side.', 'Once all the steak has been cooked, serve with the salad. Finish with a sprinkling of chile, if using.']","['HarperCollins', 'Steak', 'Asian', 'Soy Sauce', 'Bok Choy', 'Skewer', 'Cucumber', 'Kale', 'Ginger', 'Dinner']"
How to Throw a Dinner Party Without Actually Cooking Anything,article,"For a quick, easy, and casual after-work dinner party, assemble ingredients from the grocery store into an elegant meal.",/expert-advice/no-cook-30-minute-dinner-party-menu-article,,,,,
The Best Gifts for Your Adult Siblings,article,Because sibling rivalry should be all about who scored the better present.,/holidays-events/gift-guide-adult-siblings-article,,,,,
"Yogurt with Raisins, Cucumber, and Walnuts",recipe,"Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts,0,0%,"['1/2 cup walnuts', '1 Persian cucumber, finely chopped', '3 cups plain whole-milk Greek yogurt', '3 tablespoons chopped golden raisins', '1 tablespoon finely grated green garlic, or 1 garlic clove, finely grated', '1 teaspoon finely grated lemon zest', '1 teaspoon fresh lemon juice', '1 tablespoon crushed dried mint leaves, plus more for serving', '1 tablespoon olive oil, plus more for drizzling', '2 teaspoons crushed dried rose petals; plus more for serving (optional)', 'Kosher salt, freshly ground pepper', '2–3 tablespoons whole milk (optional)', 'Aleppo-style pepper (for serving)']","['Preheat oven to 350°F. Toast walnuts on a rimmed baking sheet, tossing occasionally, until golden brown, 8–10 minutes. Let cool, then finely chop.', 'Mix walnuts, cucumber, yogurt, raisins, green garlic, lemon zest, lemon juice, 1 Tbsp. mint, 1 Tbsp. oil, and 2 tsp. rose petals, if using, in a medium bowl to combine; season with salt and pepper. If yogurt looks thick, stir in milk as needed.', 'Serve topped with Aleppo-style pepper and more dried mint and rose petals and drizzled with more oil.']","['Bon Appétit', 'Persian New Year', 'Middle Eastern', 'Yogurt', 'Side', 'Condiment', 'Dip', 'Walnut', 'Cucumber', 'Raisin', 'Garlic', 'Lemon', 'Mint']"
This Week's Meal Plan: 5 Days of Easy Grill-Friendly Dinners,article,"Spend some quality time with your grill this week making simple summer meals like grilled sausage with greens and lemon, Thai tofu and green bean salad, and grilled flatbread with smoked trout.",/recipes-menus/weekly-meal-plan-5-days-of-easy-grill-friendly-dinners-article,,,,,
How Having a Child With Food Allergies Changed the Way I Cook Dinner,article,"After her son was diagnosed with food allergies, this food-loving parent had to learn how to bring the world to him, one meal at a time.",/expert-advice/how-having-a-child-with-food-allergies-changed-the-way-i-cook-dinner-article,,,,,
Here's Why My Kids Eat Indian Food Almost Every Night,article,Chicago-based cookbook author Anupy Singla changed careers in order to change her family's eating habits. It worked.,/expert-advice/why-my-kids-eat-indian-food-almost-every-night-article,,,,,
This Week's Meal Plan: Cool Dinners for Hot Nights,article,"Too hot outside to eat anything warm? Make chilled corn soup, a summery salmon salad, and cool, spicy noodles instead.",/recipes-menus/this-weeks-meal-plan-cool-dinners-for-hot-nights-article,,,,,
5 Easy Weeknight Recipes to Get You Through the First Week of School,article,Put down that take-out menu. Sail through the school week with these family-friendly recipes that are just as fast and much more delicious.,/recipes-menus/your-seriously-easy-back-to-school-dinner-plan-article,,,,,
The Number One Reason You Don't Feel Like Cooking,article,"No, it's not because you're lazy.",/expert-advice/reason-you-dont-feel-like-cooking-how-to-cook-more-often-article,,,,,
The Central-Asian Herb Combo I Can't Get Enough Of,article,"It's unexpected, it's assertive, and it's remarkably delicious.",/ingredients/uzbek-cuisine-herb-combo-dill-and-cilantro-article,,,,,
"Step Aside, Avo Toast: Avocado Pickles Are a Thing",article,And they're super easy to make.,/expert-advice/avocado-pickles-are-the-newest-avo-trend-article,,,,,
The Secret Peanut Sauce of a Seven-Year-Old Chef,article,It's time to share the magic with your kids.,/recipes-menus/kid-friendly-peanut-sauce-essay-recipe-article,,,,,
Favorite Dill Pickles,recipe,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",/recipes/food/views/fast-favorite-garlic-dill-pickles-230707,3.5,71%,"['8-10 small pickling cucumbers (about 3 pounds/1.5kg)', '2 cups (500 mL) white vinegar', '2 cups (500 mL) water', '2 tablespoons (25 mL) pickling salt', '4 heads fresh dill or 4 teaspoons dill seeds (20 mL)', '4 small cloves garlic']","['Cut a thin slice from the ends of each cucumber', 'Meanwhile, combine vinegar, water, and salt in a saucepan and bring to a boil.', 'Remove hot jars from canner. Place 1 head fresh dill or 1 tsp (5 mL) dill seeds and 1 clove garlic into each jar; pack in cucumbers. Pour boiling vinegar mixture over cucumbers to within 1/2 inch (1 cm) of rim (head space). Process 10 minutes for pint (500 mL) jars and 15 minutes for quart (1 L) jars as directed for Longer Time Processing Procedure.']","['American', 'Garlic', 'Side', 'Vinegar', 'Cucumber', 'Dill', 'Boil', 'Fat Free', 'Vegan', 'Vegetarian', 'Pescatarian', 'Paleo', 'Dairy Free', 'Wheat/Gluten-Free', 'Peanut Free', 'Tree Nut Free', 'Soy Free', 'No Sugar Added', 'Kosher']"
This is What Happens When Kids Choose the Meal Plan for the Week,article,"No, you won't be stuck eating chicken fingers and hot dogs all week. But you will probably eat a lot of noodles.",/expert-advice/kids-plan-our-meals-for-a-week-article,,,,,
A Weekly Meal Plan That's All About Sandwiches,article,"Piling ingredients onto bread is the quickest, most satisfying way to achieve a full week of dinners.",/recipes-menus/a-weekly-meal-plan-thats-all-about-sandwiches-article,,,,,
