title,verse
Mess Around,"Oh no, oh no, oh no, oh no
Ahhhhh, oh no
Ahhhhh, oh no
Ahhhhh, oh no
No, she don't mess around
No, she don't mess around
Oh St. Louis, California
Blue eyes, yeah she's comin' for ya
Land of Mary, Charm City
Oh lord, wish she was my baby
You know she'll drive you crazy
Yeah she's coming for ya
No, she don't mess around
No, she don't mess around
No, she don't mess around
No, she don't mess around
The heat is rising and only getting hotter, ready to blow
I think I'll pour myself a glass of water, let it flow
She'll show you what she's made of
Yeah she's comin' for ya
She's gonna try to break ya
Yeah she's comin' for ya
No, she don't mess around
No, she don't mess around
Ahhhhh, oh no
Ahhhhh, oh no
Ahhhhh, oh no
No, she don't mess around
No, she don't mess around
Oh no, oh no, oh no, oh no
Ahhhhh, oh no
Ahhhhh, oh no
Ahhhhh, oh no
No, she don't mess around
No, she don't mess around
Ahhhhh, oh no
Ahhhhh, oh no
Ahhhhh, oh no
No, she don't mess around
No, she don't mess around
No, she don't mess around"
Night Running,"We're on a night run
Boy you better hold your tongue
Talking like you coming from kingdom come
Rhythm and reeling
The feeling I'm riding
The sound to the ceiling
Never got no money
But I'm running from the gun
My engines flooded
Cold blooded no money
Drunk on something uh
Killing the moonlight
With daylight
Got my x ray eyes
And I'm feeling so fine
Night Running all night running
Star studded not far from it
We're running all night running
Cold blooded all night running
Night running all night running
Star studded not far from it
Night running all night running
Cold blooded we're all night running
We're on the night shade
Tell me what we're hiding from
Like someone could steal it
Are we waiting for some kind of feeling
Or saving it up for the morning?
Under cover
The cloak and dagger
Is there a creature in the attic
Are we for real yeah
Or just pretending
Will it burn it out by the morning
Night Running all night running
Star studded not far from it
We're running all night running
Cold blooded all night running
Night running all night running
Star studded not far from it
Night running all night running
Cold blooded we're all night running
We're on a night run
No telling who we're running from
In a world of secrets and demons and people hiding from the sun
Sending my message to everyone losing control
Better not stop 'till I get home
Sentimental flowers don't grow
Got to live through tidal waves
And parishes and biblical floods
I got the Gris Gris love
And the streets in my blood
I'm on the final run
Falling in and out of love
Night Running all night running
Star studded not far from it
We're running all night running
Cold blooded all night running
Night running all night running
Star studded not far from it
Night running all night running
Cold blooded we're all night running"
Portuguese Knife Fight,"I wanna waste my life with you, oh yeah
Well the look in your eyes says you're feeling the same way too, oh yeah
The look in your eyes is as sharp as a cold knife fighter, oh yeah
Cutting me through, yeah the feeling is true
I really wonder, oh yeah
Give me a sign, tell me what should I do
Say that you're mine and you're feeling it too
I made up my mind, yeah all of the time, you know
I wonder, oh yeah
I wanna waste my life with you
Well the look in your eyes says you're feeling the same way too, oh yeah
Tell me, pretty bird how's that baby blue?
I'm just trying to catch a feel from you, oh yeah, oh yeah, oh yeah
Now the curtain is closed, you got me feeling exposed
Hallelujah, oh yeah
Holding my hand, yeah the voice in my head
I really wonder, oh yeah
I started to fall and I went straight through the floor
Down on my knees, you got me begging for more
I made up my mind, yeah I put in the time
Because I wanna, oh yeah
I wanna waste my life with you, oh yeah
Well the look in your eyes says you're feeling the same way too, oh yeah
Give me a sign, tell me what should I do
I'm just trying to catch a feel
I wanna waste my life with you, oh yeah
Tell me, pretty bird how's that baby blue?
I'm just trying to catch a feel"
Punchin' Bag,"She's a stone cold straight-faced killer and a lover
And she won't put up with another
Brute who only wants to bruise her
Take her love and then abuse her
She won't take no more, won't take no more
Won't take no more, won't take no more
Oh no ain't it a drag
If you take a swing, she swing back
She say I'm not your punchin' bag
Heaven help ya 'm telling the truth
Heaven help ya she's coming for you
Heaven help ya the girl likes to fight
Afraid of nothing and she carries a knife
She said
I'm not your punchin' bag
I'm not your punchin' bag
I'm not your punchin' bag
What kind of man are you?
Instead of kisses you gave bruises
No more time for cheap excuses
If I were you, I would be leaving
Best you go while you're still breathing
She won't take no more, won't take no more
Won't take no more, won't take no more
Oh no ain't it a drag
If you take a swing, the kid swings back
She say I'm not your punchin' bag
Heaven help ya 'm telling the truth
Heaven help ya she's coming for you
Heaven help ya the girl likes to fight
Afraid of nothing and she carries a knife
She said
I'm not your punchin' bag
I'm not your punchin' bag
I'm not your punchin' bag
Last time, last time you're ever gonna
Last time, last time you're ever gonna
Last time, last time you're ever gonna
Last time, last time you're ever gonna
Oh no ain't it a drag
Everywhere you go, better watch your back
Cause I'm not your punchin' bag
Heaven help ya 'm telling the truth
Heaven help ya she's coming for you
Heaven help ya the girl likes to fight
Afraid of nothing and she carries a knife
She said
I'm not your punchin' bag
I'm not your punchin' bag
I'm not your punchin' bag
I'm not your punchin' bag"
Ready to Let Go,"Sun went down, sun went down over Pompeii
On both sides the vow was broken
Oh my my, I'm the one
Trying to hide this damage done
One day, all our secrets will be spoken
As we slow dance, I became your statue, frozen
'Times I wonder, are we just a puff of smoke? Yeah
Underneath this bed of ashes
Still withholding everything
Like we were never close
Don't you worry baby
No sense trying to change it
I'ma strike these matches
Never had control
I'm ready to let go
No, was I fooling myself
I'ma spread these ashes
Never had control
I'm ready, I'm ready
I'm ready to let go
Sun went down, sun went down over Pompeii
On holy ground, our vows were broken
We met up
We broke bread
I was blue, your dress was red, ain't it strange?
We both knew this day was coming
As we slow dance, I became your statue, frozen
'Times I wonder, are we just a puff of smoke? yeah
Underneath this bed of ashes, still withholding everything
Like we were never close
Don't you worry baby
No sense trying to change it
I'ma strike these matches
Never had control
I'm ready to let go
No, was I fooling myself
I'ma spread these ashes
Never had control
I'm ready, I'm ready
I'm ready to let go
Don't you worry baby
No sense trying to change it
I'ma strike these matches
Never had control
I'm ready to let go
No, was I fooling myself
I'ma spread these ashes
Never had control
I'm ready, I'm ready
I'm ready to let go"
Right Before My Dreams,
Right Before My Eyes,"Timber shakes these trails, they are derailed
Phony, false and frail
An empty ocean
Lost our way with no direction home
Gonna need those, names we take in vain
Find it harder to remain
No nothing sacred
Still waiting on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
I fell through the floor
I couldn't take it anymore
I can't take this anymore
It breaks my mind
Hold her dirty hands over the flames
Getting pleasure from the pain
Softly screaming
The pistol that she raised has spoken
Golden needles, names we take in vain
Find it harder to remain
Nothing sacred
Still waiting on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
I fell through the floor
I couldn't take it anymore
I can't take this anymore
It breaks my mind
Everything I thought I knew fell to the side
Time went on and on, I couldn't see past my own eyes
Past my eyes, past my eyes, past my eyes
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
I fell through the floor
I couldn't take it anymore
I can't take this anymore
Fix my mind"
Rubber Ball,"Rolling around like a big rubber ball
Writing this song about some things that I saw
Trying to stand like a big strong tough man
Finding out fast that I'm sinking in sand
All I got is nothing but a little bit of love
Gonna give it to the people then they'll see
Then they'll see
Spinning the tops as the tables they turn
Made some mistakes but I still couldn't learn
Covered my tracks, thought I was fine
Got no self control now I'm back here in line
All I got is nothing but a little bit of love
Gonna give it to the people then they'll see
Then they'll see
All I got is nothing but a little bit of love
Gonna give it to the people then they'll see
Then they'll see"
Sabertooth Tiger,"On the other side of town lives a sabertooth tiger
Paint's a real good picture, he's an excellent liar
His mouth is full of sand and he's dying to meet you
His mouth is full of sand he's just dying to meet you
On the other side of town lives a sabertooth tiger
Runaway runaway runaway from the beast
Got a bullet in your back and you're shaking at the knees
Runaway runaway runaway from the beast
Got a bullet in your back, runaway from the beast
Colder than an ice cube and faster than the fastest cheetah
He's hiding in the kitchen he's a right brain eater
His mouth is full of sand and he's dying to meet you
His mouth is full of sand he's just dying to meet you
On the other side of town lives a sabertooth tiger
Runaway runaway runaway from the beast
Got a bullet in your back and you're shaking at the knees
Runaway runaway runaway from the beast
Got a bullet in your back, runaway from the beast
He's a sabertooth tiger
Runaway runaway runaway from the beast
Got a bullet in your back and you're shaking at the knees
Runaway runaway runaway from the beast
Got a bullet in your back and you're shaking at the knees
Runaway runaway runaway from the beast
Got a bullet in your back and you're shaking at the knees
Runaway runaway runaway from the beast
Got a bullet in your back, runaway from the beast"
Sell Yourself,"Well, I tried to paint my mind
But now I'm stuck here in the middle
Got this scalpel in my hand
I'm operating on this riddle
Got my tongue all tied in knots
On my forehead placed a label
Took all my inspiration
Carved your name into the table
Let's talk about me,
Let's talk about you,
I know your type
I know exactly what you wanna do
And if the money's right
You think I'd disagree
So sad to see you torn apart
By Hell and selfish greed
And sell yourself
Don't be a fool
Sell yourself
They need your body
Sell yourself
Don't be a fool
Sell yourself
Sell yourself
All my memory shard becomes dirty little pieces
Choking on your cancer, waitin' on to new releases
No more need to operate
You are ready for the masses
Nothing more to give you
You are ready for the masses
Let's talk about me,
Let's talk about you,
I know your type
I know exactly what you wanna do
And if the money's right
You think I'd disagree
So sad to see you torn apart
By Hell and selfish greed
And sell yourself
Don't be a fool
Sell yourself
They need your body
Sell yourself
Don't be a fool
Sell yourself
Sell yourself
Sell yourself
Sell yourself
Sell yourself
Sell yourself
Don't be a fool
Sell yourself
They need your body
Sell yourself
Don't be a fool
Sell yourself
Sell yourself"
Shake Me Down,"Shake me down
Not a lot of people left around
Who knows now
Softly laying on the ground, ooooh
Not a lot people left around, ooooh. ooooh
In my life, I have seen
People walk into the sea
Just to find memories
Plagued by constant misery
Their eyes cast down
Fixed upon the ground
Their eyes cast down
I'll keep my eyes fixed on the sun
Shake me down
Cut my hair on a silver cloud
Broken sound
Softly laying on the ground, ooooh
Not a lot people left around, ooooh, ooooh
In my past, bittersweet
There's no love between the sheets
Taste the blood, broken dreams
Lonely times indeed
With eyes cast down
Fixed upon the ground
Eyes cast down
I'll keep my eyes fixed on the sun
Turn back now its time for me to let go
Way down had to find a place to lay low
Lampshade turned around into a light post
Walk around the corner
Never saw it coming still
I try to make a move
It almost stopped me from belief
I don't wanna know the future
But I'm like rolling thunder
Even on a cloudy day
Even on a cloudy day
Even on a cloudy day
Even on a cloudy day
Even on a cloudy day
Even on a cloudy day
Even on a cloudy day
I'll keep my eyes fixed on the-
I'll keep my eyes fixed on the-
I'll keep my eyes fixed on the sun
Shake me down
Not a lot of people left around, ooooh, ooooh"
Shiver,"Timber shakes these trail
They all derail,
Phony false and frail
An empty ocean
Lost our way with no direction home
Golden needles names we take in vain
Find it harder to remain
Nothin's sacred, waitin' on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldn't take it anymore
I can't take this anymore
It breaks my mind
Uh-huh
Hold her dirty hands over the flames
Gettin' pleasure from the pain
Softly screamin' that this girl that you raise has spoken
Golden needles names we take it vain
Find it harder to remain
Nothin's sacred, still waitin' on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldn't take it anymore
I can't take this anymore
It breaks my mind
Uh-huh
Everything I thought I knew fell to the side
Time went on and on
Couldn't see past my own eyes
Past my eyes, past my eyes, past my eyes
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldn't take it anymore
I can't take this anymore
It breaks my mind
Uh-huh"
Shiver Me Timber,"Timber shakes these trails, they all derail
Phony false and frail
An empty ocean
Lost our way with no direction home
Golden needle's names we take in vain
Find it harder to remain
Nothins sacred, waitin on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldnt take it anymore
I cant take this anymore
It breaks my mind
Uh-huh
Hold her dirty hands over the flames
Gettin pleasure from the pain
Softly screamin
the pistol that you raised has spoken
Golden needles names we take in vain
Find it harder to remain
Nothins sacred, still waitin on that explanation
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldnt take it anymore
I cant take this anymore
It breaks my mind
Uh-huh
Everything I thought I knew fell to the side
Time went on and on
Couldnt see past my own eyes
Past my eyes, past my eyes, past my eyes
Right before my eyes
I saw the whole world lose control
The whole world lost control
Before my eyes
Uh-huh
I fell through the floor
I couldnt take it anymore
I cant take this anymore
It breaks my mind
Uh-huh"
Skin and Bones,
Social Cues,
Soil To The Sun,"In the depths of my mind I laid sleepin'
Well, I had such a dream when I woke I was weepin'
The vision I saw danced around me
And my heart saw the things that my eyes couldn't see
Oh, the sun crashed down to the ground
The moon rose up to the sky, blood-red
All the dead climbed up out from their graves
They fell to their knees as the stars started screamin'
Come one - come all - come see it, believe it
The truth - will shine if you open you eyes
And you'll see - it move as it moves on the masses
The weak - will rise and give birth to the sky
... the sky
No, it didn't stop there, it consumed me
And it crushed me with joy as it's beauty swept through me
I was moved by the weight of it all
I'd been touched by the light, yes I know what I saw
Oh, the sun crashed down to the ground
The moon rose up to the sky, blood-red
All the dead climbed up out from their graves
They fell to their knees as the stars started screamin'
Come one - come all - come see it, believe it
The truth - will shine if you open you eyes
And you'll see - it move as it moves on the masses
The weak - will rise and give birth to the sky
... the sky
Ha, ha, ha
I saw the demons dreamin'
I heard people singin'
The dinosaurs are dyin'
The mind control's subsidin'
I saw a new path beatin'
Free thinkers freely thinkin'
Can't stop a thought from breathin'
It moves like fire
The sun crashed down to the ground
The moon rose up to the sky, blood-red
All the dead climbed up out from their graves
They fell to their knees as the stars started screamin'
Come one - come all - come see it, believe it
The truth - will shine if you open you eyes
And you'll see - it move as it moves on the masses
The weak - will rise and give birth to the sky
... the sky"
Spdierhead,"I am the one you left for dead
(Say you wanted to)
You are the bullet in my head
(Ahh)
And as you stand over my grave
(Tell me it's okay)
You'll pause the lips upon my face.
(Ahh)
Either I'm in heaven, or I'm in hell
Am I losing my mind, yeah
(Cause I can't tell)
I've been waiting for answers for way too long
Seems I'm always waiting around.
Spiders in my head, spiders in my mind
You may take my eyes, but baby I'm not blind
It all works out in time
You know I'm gonna be all right
You may take my eyes, but baby I'm not blind.
I think your mother wants me dead
(Say you wanted to)
I am a schizophrenic man
(Ahh)
I wouldn't change you if I could
(Say you wanted to)
Treat me good I'll play it cool.
Spiders in my head, spiders in my mind
You may take my eyes, but baby I'm not blind
It all works out in time
You know I'm gonna be all right
You may take my eyes, but baby I'm not blind.
Spiders in my head, spiders in my mind
You may take my eyes, but baby I'm not blind
It all works out in time
You know I'm gonna be all right
You may take my eyes, but baby I'm not blind."
Sweetie Little Jean,"sweetie little Jean where did you go?
everyone's been searching high and low
and your mother's worried sick
dearest daddy lost his grip
while the whole world's watching
candlelight vigils being held in silence on the channel four
and they've knocked on every door
every place you've been before
how long will we let it go?
i think we should just let go
i, i want you babe
let's get back
lay my weary head against your bones
where all my troubles will be dead and gone
how long will we let it go?
i think we should just let go
has melancholy taken you for good?
you know that i would save you if i could
watched your laughter turn to tears
then you vanished in thin air
well we pinned your missing persons picture up on every mother-lovin' post
how's it feel to be a ghost?
you're the one I love the most
i, i want you babe
let's get back
lay my weary head against your breast
where all my troubles will be laid to rest
i pushed and i pulled 'til i pushed you aside
now all that is left are the tears that you cried
i'm sorry love for all of the damage done
i only hope
that someday to be back beside you
i, i want you babe
let's get back
lay my weary head against your bones
where all our troubles will be dead and gone
how long will we let it go?
i think we should just let go"
Take It Or Leave It,"Baby you should know by now that I'm right, for you.
But every time I step to you, you change your tune.
Sweet wheel of death keeps us holding our breathe.
I step to the right, you move to the left.
Unless no one else.
I'd rather die to myself.
Oh why, won't you make up your mind?
I think I must confess.
I'm starting to unwind.
I been tripping over you.
So tell me something new.
Take it or leave it.
Maybe I should pack my things and move on?
Maybe I'm fooling myself and youre already gone?
Watching the flames wither and fade.
Trying to make sense of the look on your face.
I'm down, I'm an itch.
Just playing that I can hold on.
Oh why, won't you make up your mind?
I think I must confess.
I'm learning to unwind.
I've been tripping over you.
So tell me something new.
Take it or leave it.
Baby please.
Oh baby please.
Stay with me or cut me free.
Its all of me.
Oh why, wont you make up your mind?
I think I must confess.
I'm starting to unwind.
I been tripping over you.
So tell me something new.
Take it or leave it.
Take it or leave it"
Tangle,"""Around My Head""
Ooooooooh, Ooooooooh
I don't know why I got these feelings, yeah,
I just can't seem to get away from
Can you dig it?
You may never see it
No, you will find it falling off my tongue
I take it down town, finally lose it
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Do you-ooooooh?
You-ooooooh?
Are you on the flip side?
You know I took the long way round
Cos all I really am is a homemade elevator
Blinded by your sunshine, put you on a plane to Paris
Lay my cards down on the table
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Can't find a reason for these feelings-
Got enough of them
This guy he told me,
Said he's gonna send me something lovely
But even still at times I wonder
What you're thinking of me
You're prob'ly sure I lost my mind,
Oh mind, Oh mind, Oh mind, Oh mind
I don't think it's very nice
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair
I don't think it's very polite
To walk around my head all night
You got me tangled like a braid, tied-twisted
I don't think it's fair...
Ahhhhoooooohhh!
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Ooh ooh ooh ooh
Ahh ahh ahh ahh
Oh"
Telescope,"In a far and distant galaxy
Inside my telescope I see
A pair of eyes look back at me
He walks and talks and looks like me
Sits around inside his house
From room to room he moves about
Fills his life with pointless things
and wonders how it all turns out.
Safe to say that
I don't think you understand!
There's nowhere left to turn
Walls keep breaking
Time is like a leaf in the wind
Either it's time well spent
or time I've wasted.
Don't waste it.
Afraid of what the truth might bring
He locks his doors and never leaves
Desperately searching for signs
to terrify, to find a thing
He battens all the hatches down
and wonders why he hears no sound
Frantically searching his dreams
he wonders what it's all about
Safe to say that
I don't think you understand!
There's nowhere left to turn
These walls keep breaking
Time is like a leaf in the wind
Either it's time well spent
or time I've wasted...
Clearing my mind,
losing my friends
Fall on my face
do it again.
You say how, do, you do.
Man, how 'bout you?
Man, how 'bout you?
To be sold
To be killed
To be so
In my head, I'm alone
Just like you, I've been tryin'
To be scared
In my bones, I feel cold.
I give thanks to the lord in this tree
In this street
Let me be, I don't need
To be here, I'm alone
I don't think you understand!
There's nowhere left to turn
These walls keep breaking
Time is like a leaf in the wind
Either it's time well spent
or time I've wasted...
Don't waste it."
That's Right,"Let your hair down, let's unwind
Take your problems, leave them behind
You got your troubles and I got mine
Baby that's right, baby that's right
I get in trouble cause I speak my mind
Sometimes I like it when I make you cry
Baby that's right, baby that's right
I know tomorrow we may have regrets
But as for right now where's the party at?
We'll stay up all night waiting for the sun to shine, sun to shine
Baby that's right, baby that's right, baby that's right, ahh
Take a bottle of whiskey and a bottle of wine
Take all your problems, leave them far behind
I say I'm sorry almost every time
Baby that's right, baby that's right
I know tomorrow we may have regrets
But as for right now where's the party at?
We'll stay up all night waiting for the sun to shine, sun to shine
Baby that's right, baby that's right, baby that's right
Wait 'til tomorrow then we can reflect
But as for right now where's the party at?
We'll stay up all night waiting for the sun to shine, sun to shine
Baby that's right, baby that's right, baby that's right
Ahh, ahh, ooh, ooh
(Moaning)"
The War Is Over,
Tiny Little Robots,"They've got you movin' to the city
Oh my, you think you're lookin' pretty
But they've got their pistols too
Tucked down beneath their shoe
It's a new sensation
World annihilation
Moving to the music
Patiently it's waitin'
The city's screamin'
I can hear them breathin'
Cryin' out for wisdom
Hungry minds are feedin'
And I know that you're tired of this
'Cause you're a robot
They designed your life
But true souls said you know what's right
And you can join us on the other side
Are you scared?
Are you scared?
Are you scared?
They've got you marching to a drum beat
Oh, my, you got another nose bleed
They'll keep you so amused
You'll never taste the truth
It's a new creation
Total domination
Chains across your shoulders
Social captivation
Kill our leaders
Persecute our teachers
Criticize our culture
Crucify free thinkers
I know that you're tired of this
'Cause you're a robot
They designed your life
But true souls said you know what's right
And you can join us on the other side
Are you scared?
Are you scared?
Are you scared?
Fill our eyes with money
Vanity that's cunnin'
Only on the surface
Diamonds look so stunnin'
Mass deception
Altered our perception
Sold it to the children
Made a new connection
And I know that you're tired of this
'Cause you're a robot
They designed your life
But true souls said you know what's right
And you can join us on the other side
(Our sideways are broken, Our minds have been twisted. The billboards are lying; the line has been made. The
streets are all empty, we paved them with zombies. A lost generation, generically
made. Amidst all the madness I saw a flower. A dream that was creepin' I kept in my
sight and then it turned and it took me - an explosion, it sme. Beauty that screams
""I'm alive."")"
Tokyo Smoke,
Too Late to Say Goodbye,"Oh, my precious ember burning,
My sweet glowing light.
From the moment I first saw you,
I was yours and you were mine.
Deep down we both knew
You were trouble by design
And the echo of my mother's words
""Baby don't you play with fire""
I was always playing the part
First love
Only set by a spark
There was
No way of changing my mind
Now I'm under your spell
Trapped in a lie
Shouldn't have stood that close to the fire
No turning back
No where to run
No where to hide
It's too late to say goodbye
Push back from my heart, wish we go back to the start
But oh my God is this real
No more time
It's too late
It's too late to say goodbye.
I can hear the sounds of sirens circling around
Forced to watch the ashes floating softly drifting to the ground
Deep down we both knew it was trouble by design
And the echo of my mother's words
""Baby don't you play with fire""
I was always playing the part
First love
Only set by a spark
There was
No way changing my mind
Now I'm under your spell
Trapped in a lie
Shouldn't have stood that close to the fire
No turning back
No where to run
No where to hide
It's too late to say goodbye
Push back from my heart, wish we go back to The start
But oh my God is this real
No more time
It's too late
It's too late
It's too late to say goodbye
After all the dust has settled we can settle down
Just the two of us forever no one else around
No one else around
Around
Now I'm under your spell
Trapped in a lie
Shouldn't have stood that close to the fire
No turning back
No where to run
No where to hide
It's too late to say goodbye
Push back from my heart, wish we go back to the start
But oh my God no where to escape
No more time
It's too late
It's too late
It's too late to say goodbye."
Trouble,"Ooo-ooh
We were at the table by the window in the view
Casting shadows, the sun was pushing through
Spoke a lot of words, I don't know if I spoke the truth
Got so much to lose
Got so much to prove
God don't let me lose my mind
Trouble on my left, trouble on my right
I've been facing trouble almost all my life
My sweet love, won't you pull me through?
Everywhere I look I catch a glimpse of you
I said it was love and I did it for life
Did-did it for you
Ooo-ooh
We will come to pass, will I pass the test?
You know what they say, yeah
The wicked get no rest
You can have my heart, any place, any time
Got so much to lose
Got so much to prove
God don't let me lose my mind
Trouble on my left, trouble on my right
I've been facing trouble almost all my life
My sweet love, won't you pull me through?
Everywhere I look I catch a glimpse of you
I said it was love and I did it for life
Did-did it for you
Trouble on my left, trouble on my right
I've been facing trouble almost all my life
My sweet love, won't you pull me through?
Everywhere I look I catch a glimpse of you
I said it was love and I did it for life
Did-did it for you
Ooo-ooh
Got so much to lose
Got so much to prove
God don't let me lose my mind"
What I'm Becoming,
Whole Wide World,"When I was a young boy
My mama said to me
""There's only one girl in the world for you
And she probably lives in Tahiti""
I'd go the whole wide world
I'd go the whole wide world just to find her
Or maybe she's in the Bahamas
Where the Caribbean Sea is blue
Weeping in a tropical moonlit night
Because nobody's talking about you
I'd go the whole wide world
I'd go the whole wide world just to find her
I'd go the whole wide world
I'd go the whole wide world
To find out where they hide her
I'd go the whole wide world
I'd go the whole wide world just to find her
Why am I hanging around in the rain out here
Trying to pick up a girl
Why are my eyes filling up with these lonely tears
When there's girls all over the world
Is she lying on some tropical beach somewhere
Underneath a tropical sun
Pining a way in a heat wave there
Hoping that I won't be long
I should be lying on that sun-soaked beach with her
Caressing her warm, brown skin
And then in a year or maybe not quite
We'll be sharing the same next of kin
I'd go the whole wide world
I'd go the whole wide world just to find her
I'd go the whole wide world
I'd go the whole wide world
To find out where they hide her
I'd go the whole wide world
I'd go the whole wide world just to find her
I'd go the whole wide world
I'd go the whole wide world just to find her
I'd go the whole wide world
I'd go the whole wide world
To find out where they hide her
I'd go the whole wide world
I'd go the whole wide world just to find her
I'd go the whole wide world
I'd go the whole wide world
To find out where they hide her
Hey!"
