Byes,Credits,Losses,Name,New Rating,Old Rating,Other Money,Perf Rating,Place,Player ID,Prize Money,Seed,Spread,Ties,Tournament ID,Wins,division
,,15,Rhonda Roederer,1242,1267,,1207,60,1315,,34,-18,,8163,16,Division 3
,,15,Carol Tillson,1095,1009,,1211,61,19635,,124,-20,,8163,16,Division 3
,,15,Eric Miller,1197,1165,,1230,62,20924,,79,-39,,8163,16,Division 3
,,15,Ken Louie,1273,1315,,1221,63,1427,,24,-213,,8163,16,Division 3
,,15,Terry Aitken,1215,1214,,1224,64,822,,61,-242,,8163,16,Division 3
,,15,Risa Horowitz,1214,1226,,1198,65,19410,,57,-301,,8163,16,Division 3
,,15,Wilma Pitzer,1277,1300,,1267,66,1078,,28,-444,,8163,16,Division 3
,,15,Carolyn Atchison,1097,1014,,1205,67,10145,,122,-556,,8163,16,Division 3
,,15,Cathy Poole,1162,1136,,1201,68,1958,,91,-727,,8163,16,Division 3
,,15,Supriya Devnani,1266,1304,,1216,69,5117,,26,+364,1,8163,15,Division 3
,,15,Jacqueline Heller,1155,1116,,1209,70,20500,,96,-72,1,8163,15,Division 3
,,15,Kathy Hooper,1222,1248,,1192,71,624,,46,-686,1,8163,15,Division 3
,,16,Jason Steuber,1168,1179,,1151,72,20395,,74,+331,,8163,15,Division 3
,,16,Michael Bray,1192,1218,,1158,73,1798,,59,+326,,8163,15,Division 3
,,16,Corina Farwig,1195,1231,,1146,74,4842,,53,+319,,8163,15,Division 3
,,16,Ted Bryde,1266,1346,,1157,75,16816,,15,+120,,8163,15,Division 3
,,16,Vicki Zimny,1156,1146,,1173,76,314,,86,+39,,8163,15,Division 3
,,16,Ingrid Hawkins,1140,1146,,1132,77,1128,,86,+30,,8163,15,Division 3
1,,16,Maureen Morris,1108,1108,,1099,78,966,,101,+3,,8163,14,Division 3
,,16,Harry Durbin,1145,1127,,1172,79,19013,,93,-18,,8163,15,Division 3
,,16,Shah Ali,1193,1189,,1202,80,99,,68,-183,,8163,15,Division 3
,,16,Yolanda Ushry,1198,1258,,1107,81,126,,37,-210,,8163,15,Division 3
,,16,Sonia Wilmot,1159,1157,,1173,82,1940,,81,-357,,8163,15,Division 3
,,16,Mary Rhoades,1146,1167,,1101,83,454,,78,-462,,8163,15,Division 3
,,16,Josh Greenway,1135,1116,,1169,84,19065,,96,-508,,8163,15,Division 3
,,16,Cecilia Huber,1032,975,,1110,85,826,,130,-661,,8163,15,Division 3
,,16,Herb Lewis,1148,1147,,1144,86,2655,,85,-736,,8163,15,Division 3
,,16,Jo Anne Cohen,1176,1227,,1094,87,123,,56,+586,1,8163,14,Division 3
,,16,Robb Griffith,1205,1269,,1111,88,18821,,33,+337,1,8163,14,Division 3
,,16,Ida Scaglione,1161,1182,,1140,89,1649,,70,-63,1,8163,14,Division 3
,,16,Randy Urist,1292,1393,,1158,90,17574,,2,-782,1,8163,14,Division 3
,,17,Mollie Braverman,1096,1096,$25E,1100,91,370,,105,+352,,8163,14,Division 3
,,17,Regenia Hidalgo,1044,1020,,1083,92,20315,,121,+346,,8163,14,Division 3
,,17,Ted Gest,1175,1247,,1055,93,1599,,48,+114,,8163,14,Division 3
1,,16,Scott Hawkins,1145,1173,,1094,94,1302,,75,+72,,8163,14,Division 3
,,17,Whitney Gould,1048,1000,,1121,95,266,,128,-105,,8163,14,Division 3
,,17,Lynn Gunn,1143,1180,,1104,96,371,,72,-147,,8163,14,Division 3
,,17,Irene Averell,1091,1114,,1042,97,1038,,98,-201,,8163,14,Division 3
,,17,Bob Blyler,1174,1241,,1091,98,2458,,49,-348,,8163,14,Division 3
,,17,Carol Jones,1044,1006,,1073,99,715,,125,-439,,8163,14,Division 3
,,17,Josephine Flowers,1135,1156,,1097,100,18254,,82,-460,,8163,14,Division 3
,,17,Maneck Contractor,1067,1035,,1115,101,1316,,117,-554,,8163,14,Division 3
,,17,Henry De Young,1079,1071,,1091,102,930,,110,-791,,8163,14,Division 3
,,17,Larry Durbin,1087,1074,,1084,103,20711,,109,-872,,8163,14,Division 3
,,17,Julia Bogle,1143,1202,,1042,104,1074,,65,-940,,8163,14,Division 3
,,17,Nancy Roeder,1011,946,,1107,105,1613,,132,-1019,,8163,14,Division 3
,,17,Stan Khury,1187,1284,,1052,106,704,,32,-156,1,8163,13,Division 3
,,18,Zana Anderson,1097,1113,,1079,107,781,,99,+216,,8163,13,Division 3
,,18,Bill Ewing,1083,1164,,955,108,20661,,80,-63,,8163,13,Division 3
,,18,Peter Filandro,1016,1012,,1031,109,6984,,123,-88,,8163,13,Division 3
,,18,Chad Finley,1211,1321,,1064,110,19628,,21,-220,,8163,13,Division 3
,,18,Darryl Wilson,1031,1035,,1025,111,1200,,117,-265,,8163,13,Division 3
,,18,Joyce Stock,1060,1142,,946,112,829,,89,-474,,8163,13,Division 3
,,18,Terri Morigeau,1066,1076,,1063,113,846,,107,-535,,8163,13,Division 3
,,18,Teresa Schaeffer,1037,1028,,1063,114,307,,119,-544,,8163,13,Division 3
,,18,Michael Donegan,1085,1103,,1053,115,487,,103,-599,,8163,13,Division 3
,,18,Ginger White,1089,1104,,1079,116,119,,102,-661,,8163,13,Division 3
,,18,Rebecca Owen,1032,1004,,1077,117,382,,127,-699,,8163,13,Division 3
,,18,Evelyn Callaway,1028,1058,,984,118,480,,113,-731,,8163,13,Division 3
,,18,Trish Harrop,1043,1076,,997,119,1376,,107,-47,1,8163,12,Division 3
,,18,Gerianne Abriano,1101,1171,,1016,120,19047,,76,-707,1,8163,12,Division 3
,,19,Judith Ford,1125,1203,,1015,121,1116,,64,-189,,8163,12,Division 3
,,19,Troy Millington,1011,1049,,964,122,1809,,115,-416,,8163,12,Division 3
,,19,Hans Oh,1117,1181,,1032,123,17105,,71,-555,,8163,12,Division 3
,,19,Scott McManus,935,925,,928,124,4571,,134,-613,,8163,12,Division 3
,,19,Margy Slavin,1063,1152,,945,125,354,,84,-734,,8163,12,Division 3
,,19,William Snoddy,1064,1139,,971,126,1614,,90,-840,,8163,12,Division 3
,,19,Joan Mocine,1005,1051,,921,127,747,,114,-924,,8163,12,Division 3
,,20,Dianne Wittman,936,955,,859,128,646,,131,-699,,8163,11,Division 3
1,,19,Jack Allard,961,987,,913,129,10116,,129,-741,,8163,11,Division 3
,,20,Pat Nahaczewski,913,937,,872,130,10656,,133,-864,,8163,11,Division 3
,,20,Mary Logullo,966,1005,,923,131,20117,,126,-1189,,8163,11,Division 3
,,21,Maureen Clifford,995,1109,,813,132,19978,,100,-618,,8163,10,Division 3
,,21,Lany Ramos,996,1103,,824,133,18776,,103,-742,,8163,10,Division 3
,,21,Jan Lapierre,847,841,,849,134,18333,,138,-1254,,8163,10,Division 3
,,22,Betty Bergeron,996,1134,,795,135,845,,92,-944,,8163,9,Division 3
,,22,Ruth Brower,830,849,,797,136,1367,,137,-1400,,8163,9,Division 3
1,,22,Ida Ann Shapiro,821,855,,768,137,184,,136,-1487,,8163,8,Division 3
,,22,Hans Farwig,970,1118,,744,138,4844,,95,-966,1,8163,8,Division 3
,,7,Daniel Moglen,1169,1062,,1341,1,3240,"$1,500",6,+2077,,8163,24,Division 4
,,9,Phil Seitzer,1090,953,,1256,2,20281,$700,21,+1020,,8163,22,Division 4
,,10,Kevin Bowerman,1060,939,,1254,3,20308,$400,23,+2083,,8163,21,Division 4
,,10,Greg Feldkamp,993,848,,1187,4,21045,$350,43,+560,,8163,21,Division 4
,,11,Daniel Novinson,1132,1120,,1137,5,20461,$300,1,+1286,,8163,20,Division 4
,,11,Chris Autio,1044,985,,1108,6,20662,$250,13,+1037,,8163,20,Division 4
,,11,Kenny Hoang,1034,976,,1131,7,20244,$225,14,+961,,8163,20,Division 4
,,11,Daniel Heck,1052,994,,1140,8,20110,,11,+564,,8163,20,Division 4
,,11,Kirk Troutman,907,774,$200E,1069,9,19054,,66,+168,1,8163,19,Division 4
,,12,Wendy Wilkinson Ridout,931,838,,1020,10,550,,45,+881,,8163,19,Division 4
,,12,Gladys Burritt,970,939,,1020,11,11568,,23,+685,,8163,19,Division 4
,,12,Charles Dupont,987,874,,1062,12,21049,,37,+553,,8163,19,Division 4
,,12,Paul Rickhoff,941,881,$150E,1016,13,939,,36,+377,,8163,19,Division 4
,,12,Nikhil Joshi,988,674,,1120,14,20400,,75,-1,,8163,19,Division 4
,,12,Kay Adam,1004,961,,1060,15,20858,,19,+828,1,8163,18,Division 4
,,12,Emily Lichtman,1015,1003,,1023,16,20024,,10,+488,1,8163,18,Division 4
,,13,Joe Becker,953,930,,984,17,10335,,25,+991,,8163,18,Division 4
,,13,Marie Filandro,1025,1043,,996,18,6985,,8,+774,,8163,18,Division 4
,,13,Marvin Kraus,955,926,,981,19,20137,,26,+655,,8163,18,Division 4
,,13,Paul Drake,941,872,$25E,997,20,18978,,39,+499,,8163,18,Division 4
,,13,Robin Gates,998,962,,1055,21,19365,,18,+288,,8163,18,Division 4
,,13,Gil Baker,833,655,$125E,1038,22,19352,,77,-698,,8163,18,Division 4
,,13,Callie Dunavin,970,966,,982,23,19281,,16,+444,1,8163,17,Division 4
,,13,Kevin Belinkoff,927,833,,979,24,20660,,47,-2,1,8163,17,Division 4
,,13,Conchita Deprospo,1050,1086,,1016,25,1136,,2,-182,1,8163,17,Division 4
,,14,Robert Readle,993,1069,,877,26,710,,4,+543,,8163,17,Division 4
,,14,Sharon Janssen,851,824,$100E,870,27,19475,,52,+287,,8163,17,Division 4
,,14,Diane Kerner,957,966,,960,28,20201,,16,+279,,8163,17,Division 4
,,14,Peter Hopkins,819,793,,850,29,18316,,61,+220,,8163,17,Division 4
,,14,Lucille Thornton,875,888,,853,30,19210,,34,+171,,8163,17,Division 4
,,14,Diana Bowen,867,841,,893,31,20270,,44,+144,,8163,17,Division 4
,,14,Daniel Pounder,944,955,,928,32,20344,,20,+98,,8163,17,Division 4
1,,14,Grace Harris,928,920,,951,33,19096,,29,+44,,8163,16,Division 4
,,14,Loretta Shapoff,927,926,,925,34,8726,,26,-125,,8163,17,Division 4
,,14,Linda Pearn,921,922,,924,35,1170,,28,+189,1,8163,16,Division 4
,,14,Constance J. Creech,851,830,,872,36,20874,,49,-424,1,8163,16,Division 4
,,15,Jean Waldron,921,988,,813,37,18100,,12,+588,,8163,16,Division 4
,,15,Heidi Hugli,823,799,,844,38,20991,,59,+286,,8163,16,Division 4
,,15,Dan Horowitz,953,1031,,829,39,19214,,9,+256,,8163,16,Division 4
,,15,Jim Laris,865,897,,811,40,16386,,32,+235,,8163,16,Division 4
,,15,Susan Siedschlag,976,1061,,876,41,1484,,7,+172,,8163,16,Division 4
,,15,Sylvia Polson,938,947,,934,42,3528,,22,+76,,8163,16,Division 4
,,15,John Green,875,865,,876,43,30,,41,-53,,8163,16,Division 4
,,15,Richard Banker,818,756,,914,44,17163,,69,-95,,8163,16,Division 4
1,,15,Maurice Ross,604,487,,758,45,18967,,94,-140,,8163,15,Division 4
,,15,Polly Lenzen,843,834,,853,46,1131,,46,-450,,8163,16,Division 4
,,15,Maxine Marcus,852,867,,813,47,416,,40,-507,,8163,16,Division 4
,,15,Cindy Zimmerman,835,805,,875,48,20282,,55,+60,1,8163,15,Division 4
3,,13,David Baran,1006,1066,,907,49,5952,,5,+409,,8163,15,Division 4
,,16,Arthur Van Tol,897,975,,798,50,19976,,15,+394,,8163,15,Division 4
,,16,Deanna Stacy,838,852,,820,51,19571,,42,+187,,8163,15,Division 4
,,16,Jeremiah Ramirez,877,906,,845,52,1274,,30,+91,,8163,15,Division 4
,,16,Christine Engle,843,904,,756,53,1124,,31,+62,,8163,15,Division 4
,,16,Annie Adkins,765,776,,746,54,19532,,65,-70,,8163,15,Division 4
1,,16,Darlene Kendel,690,652,,732,55,722,,78,-83,,8163,14,Division 4
,,16,Marilena Souza,819,830,,795,56,1141,,49,-189,,8163,15,Division 4
1,,16,John Lauck,820,874,,718,57,5255,,37,-203,,8163,14,Division 4
,,16,Ed Morrison,821,895,,777,58,20975,,33,-254,,8163,15,Division 4
,,16,Donna Leigh,787,780,,788,59,19051,,64,-347,,8163,15,Division 4
,,16,Laverne Brookes,793,784,,808,60,849,,63,-439,,8163,15,Division 4
,,16,Jennifer DeWaelsche,755,647,,808,61,20724,,81,-671,,8163,15,Division 4
,,17,Julie Kading,815,882,,736,62,1167,,35,+287,,8163,14,Division 4
,,17,Margaret Hughes,772,805,,722,63,414,,55,+260,,8163,14,Division 4
,,17,Chandra Hebert,630,552,$25E,748,64,20712,,87,+128,,8163,14,Division 4
,,17,Miriam Kasdan,720,730,,711,65,3004,,71,+88,,8163,14,Division 4
,,17,Jean Zucherate,793,831,,734,66,7424,,48,-190,,8163,14,Division 4
1,,17,Kathy Johnson,606,595,,622,67,497,,84,-246,,8163,13,Division 4
,,17,Laurie Holz,774,786,,770,68,20682,,62,-330,,8163,14,Division 4
,,17,Lois S Oda,778,800,,754,69,10346,,58,-428,,8163,14,Division 4
1,,17,Raina Gulbrandson,658,658,,653,70,19055,,76,-517,,8163,13,Division 4
1,,17,Desiree Engel,585,526,,599,71,425,,90,-647,,8163,13,Division 4
,,17,Pamela Pudelka,789,807,,774,72,18722,,53,-774,,8163,14,Division 4
1,,17,Jennifer Hay,713,774,,631,73,18072,,66,-518,1,8163,12,Division 4
,,17,Norman Weathers Jr,594,540,,683,74,17161,,88,-681,1,8163,13,Division 4
,,18,Norm Garvin,656,704,,578,75,17722,,73,+161,,8163,13,Division 4
1,,18,Paul Becker,712,799,$25E,546,76,953,,59,-326,,8163,12,Division 4
,,18,Karen Kaminski,551,489,,652,77,18462,,93,-423,,8163,13,Division 4
,,18,Percy Fernando,725,763,,681,78,1887,,68,-620,,8163,13,Division 4
1,,18,Rachel Gillette,712,828,,626,79,21078,,51,-663,,8163,12,Division 4
,,18,Anna Marie Cook,631,652,,610,80,1768,,78,-665,,8163,13,Division 4
,,18,Norman Wei,606,616,,599,81,20637,,82,-520,1,8163,12,Division 4
1,,18,Nikki Hoffmann,583,601,,578,82,21117,,83,-641,1,8163,11,Division 4
,,19,Judy Troutman,565,576,,555,83,19057,,86,-331,,8163,12,Division 4
1,,19,Merran Dunlop,614,686,,497,84,2203,,74,-399,,8163,11,Division 4
1,,19,Murali Balasubramanyam,604,650,,529,85,21136,,80,-601,,8163,11,Division 4
1,,19,Michael Gincel,428,371,,534,86,20701,,95,-663,,8163,11,Division 4
1,,19,Dawn Mennear,506,531,,504,87,20994,,89,-794,,8163,11,Division 4
1,,19,Carmela Long,540,581,,524,88,20717,,85,-1018,,8163,11,Division 4
1,,20,Janet Griesel,630,733,,457,89,541,,70,+219,,8163,10,Division 4
1,,20,Jean Trotman,621,721,,472,90,18255,,72,-793,,8163,10,Division 4
1,,21,Rana Afeiche,667,807,$25E,361,91,17806,,53,-506,,8163,9,Division 4
4,,18,Ruth Haywood,497,500,,496,92,21124,,91,-1107,,8163,9,Division 4
1,,21,Douglas Patterson,580,801,,362,93,20410,,57,-1311,1,8163,8,Division 4
11,,12,Michael Krafchick,939,1074,,668,94,18286,,3,-508,,8163,8,Division 4
1,,23,Leanne Becker,392,497,,237,95,20918,,92,-1650,2,8163,5,Division 4
